AgeDropdown,24,,,,,,,,,,,,,,,,
GenderDropdown,Female,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
instructionLoop,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
instructionLoop,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
CoinBoxGoodness,CoinBoxGoodness,4,,,,,,,,,,,,,,,
ChoiceBoxGoodness,ChoiceBoxGoodness,2,,,,,,,,,,,,,,,
Equity,Equity,31,0.742621471,0.272532468,0.716693093,0.479056705,-1,2,2515,-1,-1,-1,-1,-1,-1,1,This line is broken
61,0.551432122,0.685303747,0.679903912,0.298421799,right,2,280,FALSE,left,1,2,517,0,1,,,
62,0.552884156,0.712766267,0.703638809,0.324333245,right,2,265,FALSE,left,1,2,563,1,1,,,
63,0.523932584,0.711521035,0.679767371,0.337888247,right,2,472,TRUE,left,1,3,490,1,1,,,
64,0.463568419,0.711676676,0.654057417,0.301245991,right,2,294,FALSE,left,1,2,441,1,1,,,
65,0.512684776,0.721351232,0.608900414,0.307315994,left,1,458,FALSE,left,1,3,511,0,1,,,
66,0.478969841,0.699848935,0.614568831,0.250436393,right,2,463,FALSE,left,1,2,338,0,1,,,
67,0.47620295,0.694385754,0.632767437,0.284111851,left,1,248,TRUE,left,1,2,450,0,1,,,
68,0.50708183,0.677726367,0.626004737,0.317292543,right,2,780,TRUE,left,1,3,457,0,1,,,
69,0.530878796,0.65531357,0.603059839,0.353991229,right,2,337,TRUE,right,2,3,549,0,1,,,
70,0.515056867,0.621614881,0.587013531,0.316633764,right,2,302,FALSE,right,2,2,784,0,1,,,
71,0.564088952,0.605891512,0.597831962,0.302344163,left,1,274,TRUE,left,1,2,403,1,1,,,
72,0.544490845,0.577146164,0.591990909,0.331577263,left,1,248,TRUE,left,1,2,442,1,1,,,
73,0.56697908,0.605338027,0.564635273,0.330100787,left,1,270,TRUE,left,1,2,542,1,1,,,
74,0.551299433,0.607923806,0.548505306,0.309216084,right,2,263,FALSE,left,1,2,362,1,1,,,
75,0.542745978,0.589975469,0.538285961,0.334258317,right,2,294,FALSE,left,1,2,396,0,1,,,
76,0.561497649,0.630898582,0.556776422,0.331123452,left,1,283,TRUE,left,1,2,337,1,1,,,
77,0.5890172,0.627952603,0.55003011,0.34662808,right,2,243,TRUE,left,1,3,461,0,1,,,
78,0.58418656,0.579581394,0.55770887,0.372955434,right,2,271,TRUE,left,1,3,416,0,1,,,
79,0.663978966,0.603348757,0.596450133,0.335534554,right,2,331,FALSE,left,1,2,771,1,1,,,
80,0.685488539,0.661324828,0.628562826,0.317508487,left,1,280,FALSE,left,1,3,491,1,1,,,
81,0.689540609,0.642447759,0.639191253,0.280146175,left,1,294,TRUE,left,1,2,531,1,1,,,
82,0.710426204,0.65556384,0.647453283,0.26099284,left,1,275,FALSE,left,1,3,482,1,1,,,
83,0.690840056,0.626748569,0.618006357,0.265458837,left,1,282,TRUE,left,1,2,511,0,1,,,
84,0.660450007,0.589118902,0.582373787,0.266296661,left,1,259,TRUE,left,1,2,393,1,1,,,
85,0.692987017,0.603946174,0.594937518,0.30417989,left,1,252,FALSE,left,1,3,474,0,1,,,
86,0.742301951,0.638028136,0.598561433,0.339665013,right,2,263,TRUE,left,1,3,545,0,1,,,
87,0.686698796,0.686641888,0.563299184,0.332946703,right,2,317,FALSE,left,1,2,346,1,1,,,
88,0.690926289,0.664793566,0.567644664,0.35084687,right,2,278,TRUE,right,2,3,481,1,1,,,
89,0.639906407,0.672512671,0.55228793,0.382400272,right,2,296,TRUE,right,2,3,454,1,1,,,
90,0.59952609,0.702037914,0.551499978,0.385810616,right,2,291,TRUE,right,2,3,397,0,1,,,
91,0.571792989,0.691019577,0.521950007,0.435034807,left,1,262,TRUE,left,1,2,294,1,1,,,
92,0.584683138,0.706512646,0.511227068,0.445767986,left,1,295,TRUE,left,1,2,463,0,1,,,
93,0.554861172,0.711737597,0.49298152,0.440683358,right,2,259,TRUE,right,2,3,410,0,1,,,
94,0.56691542,0.724832554,0.484850093,0.42186046,right,2,270,TRUE,left,1,3,357,0,1,,,
95,0.566678637,0.720026009,0.464133901,0.412958916,right,2,266,FALSE,right,2,2,298,0,1,,,
96,0.526879516,0.731858232,0.476966682,0.397678154,right,2,239,FALSE,left,1,2,404,0,1,,,
97,0.495215172,0.724235293,0.515579849,0.441247188,left,1,263,TRUE,left,1,2,450,1,1,,,
98,0.451702132,0.722808343,0.534160535,0.393018127,left,1,334,FALSE,right,2,3,505,1,1,,,
99,0.472061867,0.665813204,0.484894663,0.383038573,left,1,300,FALSE,left,1,3,385,0,1,,,
100,0.440477252,0.677258435,0.482475295,0.368141735,left,1,315,TRUE,left,1,2,789,0,1,,,
101,0.46593904,0.675360162,0.477210774,0.392195785,left,1,279,TRUE,right,2,2,709,1,1,,,
102,0.484780332,0.725432311,0.488300642,0.393341274,left,1,294,FALSE,right,2,3,389,1,1,,,
103,0.483232027,0.713118199,0.510764902,0.382117662,left,1,298,FALSE,right,2,3,565,0,1,,,
104,0.487664781,0.746520841,0.488735789,0.354687213,left,1,286,FALSE,right,2,3,407,0,1,,,
105,0.466196047,0.738623463,0.484563566,0.359013681,left,1,290,TRUE,right,2,2,940,0,1,,,
106,0.44230564,0.735684662,0.457603871,0.422503379,left,1,325,TRUE,left,1,2,452,1,1,,,
107,0.431291039,0.737970406,0.474213679,0.440406871,left,1,313,FALSE,left,1,3,302,1,1,,,
108,0.411758553,0.726683838,0.424416267,0.437138353,left,1,310,TRUE,left,1,2,413,0,1,,,
109,0.42617015,0.716216452,0.437737338,0.394549101,left,1,278,TRUE,left,1,2,624,0,1,,,
110,0.459510608,0.734927829,0.409597478,0.408865363,left,1,271,FALSE,left,1,3,761,1,1,,,
111,0.427067585,0.687396331,0.422055811,0.420048706,left,1,306,TRUE,right,2,2,659,0,1,,,
112,0.396708941,0.671869621,0.433717705,0.409536015,left,1,274,FALSE,left,1,3,420,1,1,,,
113,0.392163879,0.674074699,0.421056076,0.417970716,left,1,317,FALSE,left,1,3,427,0,1,,,
114,0.405190011,0.621025369,0.435236167,0.408741841,right,2,284,TRUE,left,1,3,464,0,1,,,
115,0.438900539,0.653627324,0.436495633,0.413355977,right,2,333,FALSE,left,1,2,600,0,1,,,
116,0.46636407,0.639706335,0.420982312,0.376902245,right,2,294,TRUE,right,2,3,900,0,1,,,
117,0.445936664,0.664991972,0.444372392,0.369366844,right,2,299,TRUE,left,1,3,489,0,1,,,
118,0.412733195,0.661210229,0.483239814,0.32989468,right,2,244,TRUE,left,1,3,804,0,1,,,
119,0.431345824,0.653591919,0.468808733,0.333441715,left,1,278,FALSE,left,1,3,363,0,1,,,
120,0.447208271,0.627132163,0.475007497,0.328027804,left,1,270,TRUE,right,2,2,742,1,1,,,
121,0.504181577,0.598908451,0.515211526,0.320161422,left,1,290,FALSE,right,2,3,460,0,1,,,
122,0.538685689,0.598727343,0.581245968,0.326761785,left,1,326,TRUE,right,2,2,797,0,1,,,
123,0.545842916,0.565631828,0.57237552,0.349220564,left,1,291,TRUE,left,1,2,329,0,1,,,
124,0.5344246,0.575336678,0.589370512,0.317026149,left,1,283,TRUE,right,2,2,329,1,1,,,
125,0.526371932,0.577041141,0.583043513,0.304210055,left,1,247,FALSE,left,1,3,1035,1,1,,,
126,0.495129531,0.525632926,0.545587063,0.312630586,left,1,283,FALSE,left,1,3,470,0,1,,,
127,0.530068526,0.510034012,0.577867997,0.292478702,right,2,299,TRUE,right,2,3,376,1,1,,,
128,0.52117647,0.476556609,0.587986797,0.287512285,right,2,279,TRUE,right,2,3,457,0,1,,,
129,0.517407173,0.451511907,0.634869491,0.272527687,right,2,263,FALSE,left,1,2,419,1,1,,,
130,0.519013951,0.441926101,0.638098816,0.259425094,right,2,253,TRUE,left,1,3,338,1,1,,,
131,0.498890597,0.46744157,0.653874798,0.2550586,right,2,228,TRUE,left,1,3,456,1,1,,,
132,0.5069751,0.513819635,0.723727134,0.289296114,right,2,263,FALSE,left,1,2,454,1,1,,,
133,0.47837319,0.515418585,0.73934428,0.31969601,right,2,268,TRUE,left,1,3,360,0,1,,,
134,0.46411763,0.505406847,0.710796213,0.358548929,right,2,243,TRUE,left,1,3,417,1,1,,,
135,0.438161564,0.512963084,0.66331028,0.414164557,right,2,330,FALSE,left,1,2,526,0,1,,,
136,0.437804854,0.521267446,0.707140312,0.381977117,right,2,302,TRUE,left,1,3,513,1,1,,,
137,0.395505767,0.530734678,0.722301578,0.386129965,right,2,295,TRUE,left,1,3,565,1,1,,,
138,0.369825947,0.529297444,0.70507397,0.412192171,right,2,331,TRUE,right,2,3,700,0,1,,,
139,0.340955933,0.535677091,0.6760498,0.397064309,left,1,300,TRUE,left,1,2,889,0,1,,,
140,0.32784193,0.494485627,0.673797878,0.385319943,right,2,240,TRUE,left,1,3,529,1,1,,,
141,0.346949999,0.502769592,0.631642168,0.35207144,right,2,300,FALSE,right,2,2,454,1,1,,,
142,0.327683547,0.479498572,0.588172558,0.338016967,right,2,279,TRUE,left,1,3,595,1,1,,,
143,0.345778722,0.463422939,0.621093597,0.356575357,right,2,263,TRUE,left,1,3,625,0,1,,,
144,0.364945823,0.467786951,0.63877566,0.387799138,left,1,298,TRUE,right,2,2,354,0,1,,,
145,0.366856198,0.4792621,0.63816483,0.392213022,left,1,341,FALSE,left,1,3,718,0,1,,,
146,0.353443187,0.456792618,0.592292922,0.419555912,left,1,282,TRUE,right,2,2,460,0,1,,,
147,0.301722088,0.458300366,0.622835798,0.375761583,left,1,266,TRUE,left,1,2,1014,0,1,,,
148,0.264341556,0.449775355,0.662131128,0.349120033,left,1,317,TRUE,right,2,2,480,1,1,,,
149,0.264668249,0.494929556,0.639769434,0.358401192,left,1,290,TRUE,right,2,2,416,0,1,,,
150,0.301105626,0.464280329,0.609903854,0.377339727,right,2,300,TRUE,right,2,3,435,1,1,,,
151,0.280623216,0.48198623,0.626281432,0.383460734,right,2,784,FALSE,right,2,2,1096,0,1,,,
152,0.30468377,0.502435719,0.643640302,0.391815879,right,2,314,TRUE,right,2,3,694,1,1,,,
153,0.283322643,0.498139443,0.642128054,0.352140032,right,2,259,TRUE,right,2,3,378,0,1,,,
154,0.306269031,0.451614362,0.654672309,0.34838013,right,2,231,TRUE,right,2,3,408,0,1,,,
155,0.308778603,0.402575939,0.656372424,0.342612192,right,2,269,TRUE,left,1,3,403,1,1,,,
156,0.334512635,0.446579203,0.658542189,0.357265873,right,2,302,FALSE,left,1,2,600,0,1,,,
157,0.297271387,0.430236977,0.635405532,0.375693693,right,2,267,TRUE,left,1,3,483,1,1,,,
158,0.288585385,0.452657206,0.623941677,0.338900572,right,2,278,TRUE,left,1,3,483,1,1,,,
159,0.255639448,0.465453983,0.60376934,0.360800283,right,2,235,TRUE,left,1,3,373,0,1,,,
160,0.261489095,0.460071213,0.606546527,0.307855002,right,2,279,TRUE,left,1,3,409,1,1,,,
161,0.274099037,0.459478986,0.637334142,0.335324198,right,2,134,TRUE,left,1,3,454,1,1,,,
162,0.307966452,0.468720588,0.637873392,0.346238593,right,2,296,TRUE,left,1,3,395,1,1,,,
163,0.27037962,0.466356104,0.646717215,0.393464063,right,2,314,TRUE,left,1,3,465,0,1,,,
164,0.251737675,0.479336881,0.619903246,0.413261206,right,2,267,TRUE,left,1,3,487,1,1,,,
165,0.286525398,0.440569128,0.66576096,0.388390711,right,2,260,TRUE,left,1,3,467,0,1,,,
166,0.261801143,0.465180125,0.643203603,0.383915211,right,2,185,TRUE,left,1,3,313,0,1,,,
167,0.272758271,0.481601359,0.636703274,0.398893295,left,1,255,TRUE,left,1,2,304,0,1,,,
168,0.269275042,0.502893453,0.650418341,0.359880215,left,1,275,FALSE,left,1,3,462,1,1,,,
169,0.321244877,0.528573133,0.669576262,0.376463063,left,1,331,FALSE,left,1,3,486,1,1,,,
170,0.327522928,0.508532688,0.657874425,0.417988749,left,1,296,TRUE,right,2,2,427,1,1,,,
171,0.348724816,0.521911121,0.65565623,0.380266706,left,1,282,TRUE,left,1,2,573,0,1,,,
172,0.336841396,0.53042879,0.665971836,0.435348605,left,1,295,FALSE,left,1,3,440,0,1,,,
173,0.341837445,0.543180537,0.641218605,0.435268405,left,1,306,TRUE,right,2,2,313,1,1,,,
174,0.361177028,0.521201171,0.655514535,0.398994989,left,1,252,TRUE,right,2,2,396,1,1,,,
175,0.364315396,0.512763678,0.648019937,0.412392336,left,1,298,TRUE,right,2,2,370,0,1,,,
176,0.325623919,0.539890652,0.645295316,0.410745873,left,1,267,FALSE,left,1,3,706,1,1,,,
177,0.32807418,0.524925149,0.619815607,0.411582007,left,1,357,FALSE,left,1,3,466,1,1,,,
178,0.305001535,0.493612808,0.658496259,0.406841658,left,1,279,FALSE,left,1,3,439,0,1,,,
179,0.330021816,0.469098789,0.665879712,0.388386597,left,1,283,FALSE,left,1,3,455,1,1,,,
180,0.325471872,0.471028203,0.64531843,0.3621285,left,1,272,TRUE,right,2,2,499,0,1,,,
181,0.302119409,0.487451371,0.634210371,0.361006423,left,1,267,FALSE,left,1,3,636,0,1,,,
182,0.319687137,0.530255204,0.645170331,0.344822759,left,1,321,TRUE,right,2,2,365,0,1,,,
183,0.340622623,0.558125328,0.64257937,0.339710511,left,1,284,TRUE,left,1,2,372,0,1,,,
184,0.326804304,0.549400692,0.592456718,0.33063865,right,2,337,TRUE,left,1,3,377,1,1,,,
185,0.330197768,0.557380521,0.611489817,0.338332087,right,2,274,FALSE,left,1,2,428,0,1,,,
186,0.30577919,0.583624605,0.613460177,0.345801404,right,2,271,TRUE,left,1,3,321,1,1,,,
187,0.301883092,0.622316347,0.630140532,0.381599698,right,2,300,TRUE,left,1,3,491,1,1,,,
188,0.312907637,0.586220535,0.613095018,0.400276008,right,2,287,FALSE,right,2,2,461,1,1,,,
189,0.352377051,0.586986758,0.572784351,0.344680967,right,2,209,TRUE,left,1,3,482,1,1,,,
190,0.344876725,0.638157165,0.581975755,0.351436315,right,2,349,TRUE,left,1,3,431,1,1,,,
191,0.392391799,0.667164906,0.552605566,0.325587876,right,2,472,TRUE,left,1,3,431,0,1,,,
192,0.412042041,0.644357667,0.547124921,0.329218442,right,2,269,FALSE,right,2,2,763,0,1,,,
193,0.379965792,0.664566689,0.570912411,0.325998113,right,2,299,TRUE,left,1,3,388,1,1,,,
194,0.389664565,0.664375095,0.558492336,0.366447813,right,2,286,FALSE,right,2,2,369,1,1,,,
195,0.395044615,0.72543228,0.519210011,0.355126527,left,1,301,FALSE,left,1,3,561,0,1,,,
196,0.383792753,0.712424711,0.479336008,0.38720937,right,2,384,TRUE,left,1,3,450,1,1,,,
197,0.373069974,0.734290462,0.460441786,0.37536419,right,2,397,TRUE,left,1,3,466,0,1,,,
198,0.440370694,0.747560565,0.460608263,0.410302322,right,2,268,TRUE,left,1,3,541,0,1,,,
199,0.471404411,0.736647852,0.467873357,0.375276532,right,2,294,TRUE,right,2,3,341,1,1,,,
200,0.487117657,0.73600551,0.446751124,0.402649308,right,2,270,FALSE,right,2,2,719,1,1,,,
